customer_id,first_name,last_name,email,join_date,vip
1,Michael,Brown,michael.brown230@example.com,30/01/2022,TRUE
2,Patricia,Martinez,patricia.martinez792@example.com,09/12/2019,FALSE
3,David,Williams,david.williams637@example.com,19/04/2023,FALSE
4,Linda,Williams,linda.williams704@example.com,28/06/2018,FALSE
5,Robert,Williams,robert.williams374@example.com,07/12/2020,FALSE
6,Michael,Garcia,michael.garcia80@example.com,31/12/2020,FALSE
7,Elizabeth,Davis,elizabeth.davis606@example.com,23/04/2018,FALSE
8,John,Miller,john.miller738@example.com,27/01/2020,FALSE
9,Michael,Brown,michael.brown65@example.com,15/06/2020,FALSE
10,David,Brown,david.brown88@example.com,11/04/2023,FALSE
11,David,Martinez,david.martinez88@example.com,08/06/2018,FALSE
12,Linda,Johnson,linda.johnson713@example.com,25/02/2020,FALSE
13,Robert,Smith,robert.smith726@example.com,09/12/2022,FALSE
14,Patricia,Rodriguez,patricia.rodriguez204@example.com,14/01/2023,FALSE
15,Linda,Johnson,linda.johnson913@example.com,17/04/2024,FALSE
16,Linda,Davis,linda.davis382@example.com,23/03/2022,FALSE
17,John,Rodriguez,john.rodriguez601@example.com,23/04/2018,FALSE
18,Jennifer,Brown,jennifer.brown476@example.com,16/09/2018,FALSE
19,Robert,Davis,robert.davis573@example.com,25/11/2023,FALSE
20,Mary,Rodriguez,mary.rodriguez783@example.com,29/07/2019,FALSE
21,Linda,Martinez,linda.martinez606@example.com,13/10/2021,FALSE
22,Barbara,Martinez,barbara.martinez819@example.com,12/12/2022,FALSE
23,Jennifer,Jones,jennifer.jones539@example.com,07/05/2021,FALSE
24,Mary,Miller,mary.miller214@example.com,10/10/2024,FALSE
25,Barbara,Martinez,barbara.martinez74@example.com,10/02/2022,FALSE
26,Robert,Brown,robert.brown61@example.com,08/05/2020,FALSE
27,James,Smith,james.smith698@example.com,16/05/2022,FALSE
28,Barbara,Williams,barbara.williams543@example.com,11/04/2022,FALSE
29,Elizabeth,Jones,elizabeth.jones219@example.com,27/11/2024,FALSE
30,Jennifer,Williams,jennifer.williams12@example.com,19/07/2024,FALSE
31,Barbara,Miller,barbara.miller814@example.com,24/12/2023,FALSE
32,William,Rodriguez,,04/10/2018,FALSE
33,James,Garcia,james.garcia32@example.com,06/07/2023,FALSE
34,David,Martinez,david.martinez160@example.com,10/09/2023,FALSE
35,David,Smith,david.smith237@example.com,04/09/2018,FALSE
36,Elizabeth,Miller,elizabeth.miller739@example.com,15/02/2019,FALSE
37,Barbara,Williams,barbara.williams181@example.com,06/09/2023,FALSE
38,Barbara,Jones,barbara.jones829@example.com,14/03/2018,FALSE
39,John,Martinez,john.martinez558@example.com,25/01/2021,FALSE
40,Barbara,Brown,barbara.brown341@example.com,04/11/2019,FALSE
41,Michael,Martinez,michael.martinez458@example.com,01/10/2021,FALSE
42,Patricia,Jones,patricia.jones80@example.com,28/11/2024,FALSE
43,William,Jones,william.jones647@example.com,16/08/2021,FALSE
44,John,Garcia,john.garcia772@example.com,14/10/2018,TRUE
45,Robert,Martinez,robert.martinez987@example.com,24/03/2023,FALSE
46,John,Martinez,john.martinez820@example.com,31/07/2018,TRUE
47,Michael,Garcia,michael.garcia759@example.com,05/02/2019,FALSE
48,Robert,Davis,robert.davis473@example.com,17/10/2019,TRUE
49,William,Davis,william.davis671@example.com,13/05/2019,FALSE
50,Michael,Rodriguez,michael.rodriguez715@example.com,13/09/2021,FALSE
51,Mary,Davis,mary.davis112@example.com,08/04/2018,FALSE
52,Patricia,Johnson,patricia.johnson980@example.com,10/08/2024,FALSE
53,William,Martinez,william.martinez292@example.com,08/04/2019,FALSE
54,Barbara,Smith,barbara.smith950@example.com,07/09/2023,FALSE
55,Mary,Martinez,mary.martinez822@example.com,30/09/2018,FALSE
56,Elizabeth,Johnson,elizabeth.johnson631@example.com,24/02/2021,FALSE
57,William,Johnson,william.johnson383@example.com,28/02/2024,FALSE
58,Elizabeth,Williams,elizabeth.williams17@example.com,02/11/2024,FALSE
59,Robert,Martinez,robert.martinez493@example.com,16/01/2021,FALSE
60,Mary,Miller,mary.miller331@example.com,19/01/2018,FALSE
61,Patricia,Johnson,patricia.johnson926@example.com,05/06/2022,FALSE
62,Barbara,Smith,barbara.smith739@example.com,21/01/2022,FALSE
63,Barbara,Garcia,barbara.garcia873@example.com,16/06/2024,FALSE
64,Michael,Rodriguez,michael.rodriguez486@example.com,16/02/2019,FALSE
65,Barbara,Williams,barbara.williams406@example.com,12/01/2020,FALSE
66,Linda,Garcia,linda.garcia117@example.com,20/12/2024,FALSE
67,John,Williams,john.williams555@example.com,10/04/2024,FALSE
68,James,Smith,james.smith880@example.com,04/11/2021,FALSE
69,Patricia,Jones,patricia.jones115@example.com,30/05/2019,FALSE
70,Mary,Martinez,mary.martinez795@example.com,26/07/2018,FALSE
71,Linda,Brown,linda.brown549@example.com,05/08/2020,FALSE
72,Patricia,Miller,patricia.miller814@example.com,07/09/2024,FALSE
73,Mary,Garcia,mary.garcia625@example.com,03/01/2023,FALSE
74,Jennifer,Martinez,jennifer.martinez547@example.com,22/06/2023,FALSE
75,Jennifer,Miller,jennifer.miller644@example.com,28/02/2024,FALSE
76,Elizabeth,Jones,elizabeth.jones336@example.com,08/12/2023,FALSE
77,Patricia,Brown,patricia.brown336@example.com,31/07/2022,FALSE
78,Jennifer,Miller,jennifer.miller981@example.com,05/01/2023,FALSE
79,Mary,Miller,mary.miller922@example.com,02/09/2024,FALSE
80,Elizabeth,Garcia,elizabeth.garcia889@example.com,10/04/2022,FALSE
81,Barbara,Davis,barbara.davis740@example.com,22/01/2023,FALSE
82,Mary,Brown,mary.brown147@example.com,31/03/2024,FALSE
83,Elizabeth,Martinez,elizabeth.martinez122@example.com,15/07/2022,FALSE
84,Patricia,Jones,patricia.jones81@example.com,25/08/2019,FALSE
85,Linda,Brown,linda.brown685@example.com,05/09/2021,FALSE
86,Michael,Smith,michael.smith666@example.com,13/12/2019,FALSE
87,Barbara,Davis,barbara.davis662@example.com,08/09/2020,FALSE
88,William,Smith,william.smith375@example.com,18/04/2021,FALSE
89,Linda,Jones,linda.jones570@example.com,23/10/2021,FALSE
90,Robert,Garcia,robert.garcia63@example.com,25/10/2023,FALSE
91,Mary,Garcia,mary.garcia504@example.com,18/12/2024,FALSE
92,Robert,Jones,robert.jones668@example.com,09/04/2020,FALSE
93,Linda,Williams,linda.williams449@example.com,05/12/2024,FALSE
94,Elizabeth,Jones,elizabeth.jones428@example.com,04/07/2019,FALSE
95,William,Davis,william.davis868@example.com,08/10/2019,FALSE
96,Barbara,Johnson,barbara.johnson427@example.com,29/05/2021,FALSE
97,Barbara,Garcia,barbara.garcia421@example.com,24/12/2024,FALSE
98,Barbara,Rodriguez,barbara.rodriguez322@example.com,25/04/2020,FALSE
99,William,Davis,william.davis913@example.com,02/10/2023,FALSE
100,James,Davis,james.davis680@example.com,26/03/2019,FALSE
101,William,Davis,william.davis166@example.com,11/10/2023,FALSE
102,Michael,Miller,michael.miller597@example.com,13/02/2018,FALSE
103,William,Davis,william.davis957@example.com,01/05/2022,FALSE
104,Linda,Garcia,linda.garcia649@example.com,21/10/2019,FALSE
105,James,Johnson,james.johnson461@example.com,29/12/2019,FALSE
106,Barbara,Johnson,barbara.johnson459@example.com,26/09/2023,FALSE
107,Linda,Davis,linda.davis189@example.com,13/11/2020,FALSE
108,Linda,Smith,linda.smith464@example.com,08/08/2022,TRUE
109,David,Garcia,david.garcia912@example.com,07/11/2023,FALSE
110,John,Garcia,john.garcia379@example.com,12/04/2021,FALSE
111,James,Brown,james.brown2@example.com,16/02/2021,FALSE
112,Linda,Martinez,linda.martinez618@example.com,19/08/2022,FALSE
113,John,Williams,john.williams364@example.com,04/02/2024,FALSE
114,John,Williams,john.williams72@example.com,30/01/2023,FALSE
115,James,Smith,james.smith427@example.com,02/05/2023,FALSE
116,David,Williams,david.williams638@example.com,27/09/2021,FALSE
117,Robert,Brown,robert.brown170@example.com,14/03/2019,FALSE
